question,question_type,medevac_normative_status,medevac_status_label
1,Clear Medevac,medevac_only_correct,Always Medevac
2,Clear Not Medevac,medevac_only_wrong,Never Medevac
3,Any Option,ambiguous_all_plausible,Possible Medevac
4,Clear Medevac,medevac_only_correct,Always Medevac
5,Clear Not Medevac,medevac_only_wrong,Never Medevac
6,Clear Not Medevac,medevac_only_wrong,Never Medevac
7,Clear Not Remain,medevac_one_of_two_correct,Possible Medevac
8,Clear Remain,medevac_one_of_two_wrong,Possible Medevac
9,Clear Commercial,medevac_one_of_two_wrong,Possible Medevac
10,Clear Not Remain,medevac_one_of_two_correct,Possible Medevac
11,Clear Remain,medevac_one_of_two_wrong,Possible Medevac
12,Any Option,ambiguous_all_plausible,Possible Medevac
13,Clear Medevac,medevac_only_correct,Always Medevac
14,Clear Not Medevac,medevac_only_wrong,Never Medevac
15,Clear Commercial,medevac_one_of_two_wrong,Possible Medevac
16,Conflict Between Physiology/Logistics,medevac_or_remain,Possible Medevac
17,Conflict Between Physiology/Logistics,medevac_or_remain,Possible Medevac
18,Conflict Between Physiology/Logistics,medevac_or_remain,Possible Medevac
19,Clear Medevac,medevac_only_correct,Always Medevac
20,Any Option,ambiguous_all_plausible,Possible Medevac
