physician_id,question,vignette_label,decision,confidence,question_type,vignette_class
7,1,A1,Medevac,10.0,Clear Medevac,A
7,2,B1,Commercial,7.0,Clear Not Medevac,B
7,3,C1,Remain,8.0,Any Option,C
7,4,A2,Medevac,9.0,Clear Medevac,A
7,5,B2,Commercial,8.0,Clear Not Medevac,B
7,6,B3,Remain,8.0,Clear Not Medevac,B
7,7,B4,Medevac,10.0,Clear Not Remain,B
7,8,A3,Remain,8.0,Clear Remain,A
7,9,A4,Commercial,8.0,Clear Commercial,A
7,10,B5,Medevac,9.0,Clear Not Remain,B
7,11,A5,Commercial,7.0,Clear Remain,A
7,12,C2,Commercial,8.0,Any Option,C
7,13,A6,Medevac,10.0,Clear Medevac,A
7,14,B6,Remain,8.0,Clear Not Medevac,B
7,15,A7,Medevac,10.0,Clear Commercial,A
7,16,D1,Medevac,9.0,Conflict Between Physiology/Logistics,D
7,17,D2,Remain,7.0,Conflict Between Physiology/Logistics,D
7,18,D3,Medevac,10.0,Conflict Between Physiology/Logistics,D
7,19,A8,Medevac,10.0,Clear Medevac,A
7,20,C3,Medevac,9.0,Any Option,C
8,1,A1,Medevac,10.0,Clear Medevac,A
8,2,B1,Remain,5.0,Clear Not Medevac,B
8,3,C1,Remain,5.0,Any Option,C
8,4,A2,Medevac,10.0,Clear Medevac,A
8,5,B2,Commercial,7.0,Clear Not Medevac,B
8,6,B3,Medevac,7.0,Clear Not Medevac,B
8,7,B4,Medevac,10.0,Clear Not Remain,B
8,8,A3,Remain,6.0,Clear Remain,A
8,9,A4,Commercial,5.0,Clear Commercial,A
8,10,B5,Medevac,8.0,Clear Not Remain,B
8,11,A5,Commercial,8.0,Clear Remain,A
8,12,C2,Medevac,8.0,Any Option,C
8,13,A6,Medevac,10.0,Clear Medevac,A
8,14,B6,Remain,8.0,Clear Not Medevac,B
8,15,A7,Medevac,10.0,Clear Commercial,A
8,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
8,17,D2,Remain,7.0,Conflict Between Physiology/Logistics,D
8,18,D3,Medevac,7.0,Conflict Between Physiology/Logistics,D
8,19,A8,Medevac,10.0,Clear Medevac,A
8,20,C3,Medevac,5.0,Any Option,C
9,1,A1,Medevac,2.0,Clear Medevac,A
9,2,B1,Remain,2.0,Clear Not Medevac,B
9,3,C1,Remain,3.0,Any Option,C
9,4,A2,Medevac,1.0,Clear Medevac,A
9,5,B2,Commercial,1.0,Clear Not Medevac,B
9,6,B3,Commercial,6.0,Clear Not Medevac,B
9,7,B4,Medevac,2.0,Clear Not Remain,B
9,8,A3,Remain,4.0,Clear Remain,A
9,9,A4,Commercial,2.0,Clear Commercial,A
9,10,B5,Commercial,7.0,Clear Not Remain,B
9,11,A5,Remain,2.0,Clear Remain,A
9,12,C2,Commercial,3.0,Any Option,C
9,13,A6,Medevac,8.0,Clear Medevac,A
9,14,B6,Remain,4.0,Clear Not Medevac,B
9,15,A7,Medevac,2.0,Clear Commercial,A
9,16,D1,Medevac,1.0,Conflict Between Physiology/Logistics,D
9,17,D2,Remain,4.0,Conflict Between Physiology/Logistics,D
9,18,D3,Remain,8.0,Conflict Between Physiology/Logistics,D
9,19,A8,Medevac,2.0,Clear Medevac,A
9,20,C3,Commercial,4.0,Any Option,C
10,1,A1,Medevac,10.0,Clear Medevac,A
10,2,B1,Remain,8.0,Clear Not Medevac,B
10,3,C1,Remain,7.0,Any Option,C
10,4,A2,Medevac,10.0,Clear Medevac,A
10,5,B2,Remain,10.0,Clear Not Medevac,B
10,6,B3,Commercial,5.0,Clear Not Medevac,B
10,7,B4,Medevac,10.0,Clear Not Remain,B
10,8,A3,Remain,5.0,Clear Remain,A
10,9,A4,Commercial,10.0,Clear Commercial,A
10,10,B5,Commercial,5.0,Clear Not Remain,B
10,11,A5,Remain,7.0,Clear Remain,A
10,12,C2,Medevac,5.0,Any Option,C
10,13,A6,Medevac,8.0,Clear Medevac,A
10,14,B6,Remain,8.0,Clear Not Medevac,B
10,15,A7,Commercial,10.0,Clear Commercial,A
10,16,D1,Remain,5.0,Conflict Between Physiology/Logistics,D
10,17,D2,Remain,3.0,Conflict Between Physiology/Logistics,D
10,18,D3,Remain,9.0,Conflict Between Physiology/Logistics,D
10,19,A8,Medevac,10.0,Clear Medevac,A
10,20,C3,Medevac,10.0,Any Option,C
11,1,A1,Medevac,10.0,Clear Medevac,A
11,2,B1,Medevac,8.0,Clear Not Medevac,B
11,3,C1,Medevac,9.0,Any Option,C
11,4,A2,Remain,5.0,Clear Medevac,A
11,5,B2,Commercial,10.0,Clear Not Medevac,B
11,6,B3,Remain,5.0,Clear Not Medevac,B
11,7,B4,Medevac,10.0,Clear Not Remain,B
11,8,A3,Remain,10.0,Clear Remain,A
11,9,A4,Remain,10.0,Clear Commercial,A
11,10,B5,Medevac,9.0,Clear Not Remain,B
11,11,A5,Commercial,10.0,Clear Remain,A
11,12,C2,Medevac,10.0,Any Option,C
11,13,A6,Medevac,10.0,Clear Medevac,A
11,14,B6,Remain,10.0,Clear Not Medevac,B
11,15,A7,Commercial,10.0,Clear Commercial,A
11,16,D1,Medevac,10.0,Conflict Between Physiology/Logistics,D
11,17,D2,Medevac,10.0,Conflict Between Physiology/Logistics,D
11,18,D3,Medevac,10.0,Conflict Between Physiology/Logistics,D
11,19,A8,Medevac,10.0,Clear Medevac,A
11,20,C3,Medevac,10.0,Any Option,C
12,1,A1,Medevac,10.0,Clear Medevac,A
12,2,B1,Commercial,5.0,Clear Not Medevac,B
12,3,C1,Remain,7.0,Any Option,C
